topic;words;themes;category;primitives
10;"['ower' 'verscheydene' 'coninghs' 'derwarts' 'coningh' 'selffs' 'sich'
 'ondertuschen' 'awonts' 'coninglijcke' 'gemelte' 'aenspraeck' 'vreuchde'
 'tuschen' 'volckeren' 'tegenwoordich' 'hartogh' 'gelegentheyt'
 'geallieerden' 'deses' 'martius' 'engelandt' 'cavallery' 'coning'
 'majest' 'campement' 'oorlogh' 'mareschal' 'mogelijck' 'governeur'
 'veroorsaeckt' 'majesteyts' 'spangien' 'savoyen' 'parlement' 'reedts'
 'gelijck' 'gingh' 'ordere' 'conincklijcke' 'ib' 'vryheyt' 'rhyn' 'brieff'
 'saeck' 'kryghs' 'infantery' 'weinich' 'aensien' 'twe']";10. Dynastic affairs and royal visit;8;1203
11;"['zaak' 'cabaal' 'zaaken' 'regeering' 'echter' 'deeze' 'partij' 'maar'
 'zulke' 'prinsgezinden' 'haare' 'burgers' 'wijze' 'zulk' 'dewijl' 'waar'
 'daarom' 'wijl' 'denken' 'daaden' 'haat' 'eigene' 'meden' 'bestaan'
 'gaan' 'naam' 'oorzaak' 'tijd' 'oogmerken' 'maakten' 'staat' 'gedrag'
 'welke' 'staan' 'niemand' 'waaren' 'maaken' 'bekend' 'waarheid' 'kunnen'
 'daar' 'zulken' 'patriotten' 'thans' 'denzelve' 'ingezetenen' 'had'
 'regering' 'burgerij' 'geweld']";11. Political division;7;1147
12;"['guarnijsoen' 'franchoisen' 'leeghere' 'eenijghe' 'carracena' 'gassion'
 'ijpre' 'platsen' 'rijssele' 'leegere' 'volck' 'brussele' 'prijnce'
 'trocken' 'duck' 'vijandt' 'conijnck' 'bijnnen' 'leegher' 'dijversche'
 'wederomme' 'trock' 'ghonne' 'commen' 'jully' 'lagh' 'hertooghe' 'opden'
 'uut' 'aprijl' 'commende' 'ghemackt' 'ghecommen' 'gheallieerde'
 'borghers' 'datter' 'wegh' 'gheopent' 'gheschut' 'oock' 'cortrijcke'
 'conden' 'spaensche' 'ghewelt' 'ghetrocken' 'nieupoort' 'maer' 'midts'
 'spanien' 'connen']";12. Military operations;2;1128
13;"['kouwt' 'tuijs' 'koeje' 'stv' 'maar' 'heb' 'waater' 'klaas' 'waare'
 'zaat' 'reegen' 'gehaalt' 'kon' 'mooij' 'laat' 'krijgen' 'plaas' 'hooij'
 'kaas' 'gaan' 'gld' 'taruw' 'markt' 'paarde' 'braaf' 'kreeg' 'gehat'
 'week' 'swaar' 'kogt' 'gaat' 'cr' 'staan' 'laaste' 'zak' 'toen' 'kool'
 'koome' 'best' 'medenblik' 'booter' 'weer' 'goed' 'gegaan' 'hat' 'laate'
 'heen' 'daags' 'maant' 'daan']";13. Agricultural products;6;1123
14;"['spaengiarden' 'ducdalbe' 'ducdalf' 'vuel' 'deestyt' 'prinsche' 'gescut'
 'scuyten' 'prinschen' 'brusel' 'vuele' 'goevernuer' 'loduwyck' 'scier'
 'conicx' 'duytschelant' 'coniginne' 'henegou' 'scepen' 'gesciede'
 'oraengien' 'victalie' 'scoten' 'stat' 'nou' 'middelborch' 'gedoyt'
 'conick' 'dagelycx' 'sou' 'qualyck' 'scip' 'mochten' 'mertinisten'
 'werdt' 'vranckeryck' 'gescoten' 'papen' 'welck' 'seyden' 'comen'
 'cryghen' 'volck' 'dicwils' 'ommers' 'knechten' 'borgeren' 'torck'
 'soldaten' 'cappiteynen']";14. Start of the Revolt;2;1105
15;"['besluyt' 'communen' 'uytwerkinge' 'police' 'maire' 'mairie'
 'departement' 'floreal' 'eygenaers' 'maetregelen' 'adjointen' 'thermidor'
 'departementen' 'inwendig' 'nivose' 'schikkingen' 'prefect' 'zullen'
 'gene' 'messidor' 'betrekkelyk' 'voorkomt' 'zal' 'gelast' 'brumaire'
 'fructidor' 'vendemiaire' 'pluviose' 'administratie' 'bepaeld'
 'gelegendheyd' 'besluyten' 'dispositien' 'gezeyde' 'gend' 'wyze'
 'aengeplakt' 'plicht' 'voorgeschreven' 'aengezien' 'grondregels'
 'verwittigt' 'aenbieden' 'publique' 'bureau' 'zaeken' 'noodig' 'get'
 'werken' 'insgelyks']";15. Governance and administration;3;1087
16;"['maestrigt' 'gemarcheert' 'infantery' 'trouppes' 'commando' 'cavallery'
 'franze' 'franssen' 'fransen' 'tyding' 'inf' 'gepasseert' 'garnisoen'
 'duitsland' 'campement' 'battaillons' 'armee' 'franse' 'prins' 'hussaren'
 'gekomen' 'gaande' 'ammunitie' 'garnizoen' 'regiment' 'dragonders' 'luyk'
 'comm' 'anderendaags' 'regimenten' 'hessen' 'komende' 'luitenant'
 'geallieerde' 'batt' 'party' 'aengekomen' 'ken' 'hollandse' 'rhyn'
 'commandant' 'gen' 'ruiters' 'agtermiddag' 'trokken' 'detachement'
 'bataillons' 'geallieerden' 'luik' 'gecommandeert']";16. Military troops;2;1056
17;"['franze' 'inf' 'maestrigt' 'comm' 'garnizoen' 'luik' 'gaande'
 'gemarcheert' 'fransen' 'had' 'gen' 'duitsland' 'infantery' 'tyding'
 'franse' 'aangekomen' 'ge' 'prins' 'uit' 'bestaande' 'batt' 'stadhuis'
 'commando' 'wierd' 'haag' 'ruiters' 'stad' 'cavallery' 'burgers' 'gaan'
 'trouppes' 'na' 'gepasseert' 'volk' 'armee' 'gekomen' 'gegaan' 'hussaren'
 'gew' 'militairen' 'gouv' 'komende' 'ken' 'tyd' 'uitgetrokken' 'welke'
 'geallieerde' 'aan' 'overige' 'enige']";17. Military troops;2;1042
18;"['domeni' 'bezogte' 'hanna' 'naar' 'huis' 'bezoeken' 'wijl' 'kwamen'
 'ijtje' 'hallumer' 'tjalhuizen' 'akke' 'dieuwke' 'zwager' 'lijkle' 'gaan'
 'toen' 'uur' 'naam' 'achlum' 'doeke' 'hallum' 'komst' 'bokke' 'klaaske'
 'reis' 'aldaar' 'digten' 'gegaan' 'kwam' 'wanswerd' 'zoontje' 'verzogt'
 'afscheid' 'daarna' 'had' 'maar' 'birdaard' 'dogter' 'gaarn' 'gezondheid'
 'sijtze' 'wijger' 'aangenaam' 'gereisd' 'kindertjes' 'afspraak' 'vriend'
 'reizen' 'huisgezin']";18. Personal interactions and visits;9;1014
19;"['patrioten' 'oostenryksche' 'jaegers' 'vyand' 'dragonders' 'husaren'
 'hussaren' 'gekwetste' 'kryghs' 'troupen' 'voetvolk' 'regiment'
 'detachementen' 'leger' 'volk' 'aenval' 'garnisoen' 'aenstonts' 'morgent'
 'ingekomen' 'militairen' 'vrywilligers' 'batteryen' 'grenadiers'
 'gecommandeert' 'colomme' 'waegens' 'oostenrykers' 'aftogt' 'gecampeert'
 'aenkomen' 'vuer' 'canons' 'aengekomen' 'battaillons' 'dapperheyd'
 'geposteert' 'gekwetst' 'arberg' 'rugge' 'casernen' 'voorposten'
 'detachement' 'luyk' 'aengerand' 'camperen' 'bezettinge' 'bender'
 'bataillon' 'scheuten']";19. patriots, husars;2;910
