topic;words;themes;category;primitives
87;"['sulck' 'schaede' 'tempeest' 'caude' 'conden' 'bijnaer' 'connen' 'reghen'
 'ghesien' 'vruchten' 'sulcken' 'gheruineert' 'omligghende' 'waerdeur'
 'vergaen' 'oock' 'windt' 'ghelijck' 'datter' 'menschen' 'stercken'
 'revieren' 'verdroncken' 'conde' 'soo' 'waerdoor' 'deurde' 'soodat'
 'menichte' 'abondantie' 'gheraeckt' 'cleijne' 'waeter' 'caut' 'becommen'
 'quaet' 'oversulcx' 'aerde' 'alsoo' 'volck' 'lanck' 'eenighe' 'sij'
 'daeghen' 'noodt' 'lantvolck' 'droefheijt' 'ghelaeden' 'brandt'
 'quaelick']";87. Natural disasters and flooding;11;377
88;"['spaense' 'ruijterie' 'garnisoen' 'fransen' 'volck' 'voetvolck' 'bagagie'
 'maestricht' 'meijnende' 'vlucht' 'soldaten' 'trouppen' 'stucken'
 'franse' 'begonsten' 'geusen' 'mannen' 'commando' 'vendels' 'siende'
 'regimenten' 'cavallery' 'viandt' 'genootsaeckt' 'geschuts' 'meestendeel'
 'mortiers' 'gequest' 'canon' 'furie' 'belegh' 'leger' 'wegh' 'sigh'
 'franchoisen' 'getrocken' 'borgerie' 'geretireert' 'musquetten' 'borgers'
 'cant' 'commandeerde' 'trocken' 'couragie' 'verovert' 'gewelt'
 'keijsersche' 'cornetten' 'ontsetten' 'vijandt']";88. Military engagements and retreats;2;376
89;"['ghegheselt' 'gherecht' 'besant' 'ghebrocht' 'schavodt' 'justicie'
 'souldaet' 'ghehanghen' 'zynne' 'vanghenesse' 'ghebannen' 'ghevanghen'
 'gheleet' 'pacienten' 'ghestelt' 'ghebrant' 'wasser' 'ghebonden'
 'ghedaen' 'gheweest' 'ghejusticiert' 'potente' 'ghesteken' 'metter' 'up'
 'ghehaelt' 'metten' 'gheleyn' 'oostendenaers' 'uut' 'ooc'
 'tsanderdaechts' 'twelcke' 'pacient' 'quaet' 'gheweist' 'hanchman'
 'capyteyn' 'galghe' 'thuus' 'ghevanghenen' 'hanghen' 'lettel' 'zynnen'
 'uuter' 'wedemaent' 'ghemaect' 'es' 'coorts' 'hemlien']";89. Judicial proceedings and punishments;15;375
90;"['middelburgh' 'vlissingen' 'meteren' 'rammekens' 'spaenjaerden'
 'walcheren' 'vlote' 'boxhoorn' 'vloten' 'vlissinge' 'veere' 'schepen'
 'admirael' 'governeur' 'victalie' 'vianden' 'orangien' 'sulxs'
 'terstondt' 'vloote' 'soldaten' 'sullen' 'oorloge' 'zeelandt' 'alsoo'
 'oorlogschepen' 'ingesetenen' 'souden' 'ontsetten' 'viandt' 'sij'
 'sulken' 'orangen' 'mogelijck' 'fregatten' 'namentlijck' 'eenigh'
 'geusen' 'soude' 'siende' 'burghers' 'qualijck' 'vloot' 'vrijheden'
 'buspoeder' 'aenslagh' 'voorsijde' 'lasten' 'datmen' 'ettelijcke']";90. Naval activities and warfare;2;372
91;"['bourghers' 'sayde' 'bruxsel' 'huerlien' 'wt' 'maelcontenten' 'woert'
 'gouvernuer' 'alsoe' 'huerlieden' 'soudaten' 'creghen' 'woerde' 'vorts'
 'scaede' 'onssen' 'inne' 'thof' 'apriel' 'quaet' 'voer' 'ao' 'dander'
 'februario' 'ligghen' 'soe' 'gheen' 'xvc' 'huer' 'nochtans' 'noch'
 'cryghen' 'wederomme' 'oever' 'coemen' 'beghinsel' 'goevernuer' 'wech'
 'datter' 'januario' 'ghenoemen' 'ghinghen' 'gheroepen' 'oft' 'quamen'
 'dicwils' 'benauden' 'quaden' 'ginghen' 'deen']";91. Political unrest and rebellion;7;369
92;"['gezweeld' 'maaijen' 'gemaaid' 'zweelen' 'hooi' 'onleegtijd' 'pondem'
 'maaijers' 'pondemate' 'weiden' 'rooken' 'uitmuntend' 'allerschoonst'
 'pondematen' 'krijgen' 'thans' 'staan' 'vruchtbaar' 'groeizaam' 'droogte'
 'muizen' 'gaat' 'weinig' 'steeds' 'trouwens' 'hedenmorgen' 'tothiertoe'
 'week' 'goed' 'gras' 'groei' 'daarvan' 'genoegzaam' 'kwantiteit' 'daarin'
 'afwisselende' 'buitenlanden' 'weide' 'gehaald' 'maar' 'daarmede'
 'overvloedig' 'echter' 'laatste' 'overvloed' 'aanhoudene' 'buitengewoon'
 'gewonnen' 'daardoor' 'daarom']";92. Agriculture and crop conditions;6;368
93;"['romijn' 'paus' 'roomen' 'stoel' 'wirdt' 'regeerde' 'gekosen' 'vacant'
 'maenden' 'clemens' 'gregorius' 'innocentius' 'leo' 'pausen' 'iv'
 'urbanus' 'bonifacius' 'pius' 'bleef' 'leerde' 'maendt' 'benedictus'
 'jaren' 'stephanus' 'dagen' 'sten' 'leerden' 'iaren' 'cardinaelen'
 'pausdom' 'viii' 'vii' 'joannes' 'romen' 'iii' 'concilie' 'vercoren' 'ix'
 'pontificat' 'adrianus' 'romeijn' 'toscanen' 'jubile' 'cardinael' 'roome'
 'constantinus' 'dagh' 'jaer' 'eugenius' 'xiv']";93. History of the papacy;12;364
94;"['quod' 'hoc' 'etiam' 'ac' 'sed' 'omnibus' 'vero' 'cum' 'sunt' 'qua'
 'esse' 'ecclesia' 'non' 'nobis' 'quia' 'fuit' 'ad' 'quis' 'quo' 'hic'
 'pro' 'omnes' 'inter' 'autem' 'ut' 'nec' 'domino' 'aut' 'tam' 'sit' 'ita'
 'deo' 'vel' 'ecclesie' 'sine' 'per' 'sub' 'super' 'sic' 'dominus' 'ob'
 'deus' 'domini' 'si' 'sancte' 'ex' 'ab' 'supra' 'petri' 'res']";94. *Latin language*;14;358
95;"['resolutien' 'staaten' 'mog' 'goedgevonden' 'resolutie' 'verstaan'
 'beveelen' 'gedeputeerden' 'mogende' 'holland' 'verklaren' 'republicq'
 'gezag' 'deliberatien' 'regeeringe' 'onderstond' 'bondgenooten'
 'regeering' 'verzoeken' 'vervat' 'wyders' 'provintie' 'derzelver'
 'aanschrijving' 'raad' 'gelasten' 'ernstige' 'generaal' 'extract'
 'vertrouwen' 'hunner' 'inhoud' 'friesland' 'oogmerken' 'ed' 'constitutie'
 'ingezeetenen' 'provintien' 'provisioneele' 'almagtig' 'burgerye'
 'ingezetenen' 'zoodanige' 'wettige' 'zeeland' 'ingevolge' 'algemeene'
 'vaderlyke' 'provincien' 'westvriesland']";95. Resolutions and government in the provinces of the Dutch Republic;3;351
96;"['taruwe' 'meuken' 'sack' 'deught' 'schellijnghen' 'rogghe' 'schellijngen'
 'meucken' 'deucht' 'goldt' 'stuijvers' 'graenen' 'graenmarct' 'abondante'
 'vercocht' 'golt' 'rijsinghe' 'lantvolck' 'prijse' 'tarwe' 'afslach'
 'vrijdach' 'luttel' 'abondant' 'schellinghen' 'landtvolck' 'halfven'
 'havere' 'gerste' 'abondantie' 'blancken' 'stuijver' 'sacken' 'schaers'
 'waerdeur' 'marct' 'dierder' 'cleijne' 'graen' 'havre' 'coop' 'mudden'
 'dierte' 'becommen' 'oversulcx' 'drooghe' 'twaelf' 'slechte' 'aerde'
 'gheresen']";96. Grain trade and prices;6;350
97;"['brusselsche' 'gendarmen' 'invaliden' 'gevangenisse' 'naght' 'snaghs'
 'patrioten' 'huys' 'gebraght' 'municipaliteyt' 'heversche' 'aenstonts'
 'geescorteert' 'rugge' 'thiensche' 'publiekelyk' 'morgent' 'waght'
 'bynaer' 'huysen' 'dater' 'woonende' 'nogh' 'gehaelt' 'militairen'
 'daegelyks' 'iser' 'patrouille' 'kleyne' 'sekeren' 'avonts' 'stroy'
 'diestersche' 'caemer' 'merkt' 'deure' 'slaegen' 'mindebroeders' 'welken'
 'zyner' 'gegaen' 'twelf' 'droefheyd' 'gesteken' 'voorval' 'gaet'
 'middagh' 'noghtans' 'geleyt' 'lovensche']";97. Local upheaval;7;344
98;"['pecktonnen' 'tsavonts' 'clocke' 'vrauwe' 'dijversche' 'clocken'
 'beijaert' 'gheviert' 'marckt' 'aultaer' 'oock' 'flambeuwen' 'seere'
 'torren' 'cleene' 'verciert' 'wierter' 'eenijghe' 'donnaes' 'lancx'
 'elck' 'behanghen' 'staecken' 'eenighe' 'ghestelt' 'welcke' 'ghetal'
 'gheschiede' 'drije' 'capucijnen' 'deurde' 'ghelijck' 'borghers' 'opden'
 'halle' 'cleen' 'gheluijt' 'vrauwen' 'keerssen' 'processie' 'paters'
 'daernaer' 'cruijs' 'ghelijcken' 'ghesonghen' 'teecken' 'handt' 'ghegaen'
 'dewelcke' 'ghedaen']";98. Procession and religious practices;4;340
99;"['hijer' 'zwolle' 'oover' 'wirde' 'gelderse' 'solden' 'geholden'
 'steenwijck' 'kampen' 'kneghten' 'holden' 'nogh' 'getoogen' 'hyer'
 'hartogh' 'datse' 'wirt' 'toogen' 'wolden' 'yssel' 'hattem' 'sich'
 'malckanderen' 'schenck' 'hasselt' 'wirden' 'deventer' 'gelder' 'doe'
 'solde' 'aenslagh' 'bischop' 'uijren' 'gelijck' 'gebraght' 'blockhuijs'
 'olde' 'ettelijcke' 'wolde' 'dessen' 'moghte' 'koninckx' 'oorlogh'
 'stadtholder' 'kreegh' 'sassens' 'nae' 'geschickt' 'overyssel' 'noghtans']";342. Gelderland wars;2;339
100;"['prins' 'erfstadhouder' 'nassau' 'gemalin' 'prinses' 'koninglijke'
 'doorl' 'doorlugtige' 'stadhouder' 'hoogheid' 'doorluchtige' 'oranje'
 'friso' 'orange' 'hoogh' 'frederik' 'carolina' 'nassauw' 'willem'
 'princes' 'generaal' 'gemalinne' 'erfprins' 'hoogheijd' 'hoogheit'
 'gebooren' 'princesse' 'hendrik' 'vorstelijke' 'majesteit' 'fredrik'
 'prinse' 'admiraal' 'oudste' 'staaten' 'geboren' 'raad' 'koning'
 'huwelijk' 'orangie' 'holland' 'hoogst' 'haare' 'vereenigde' 'graaf'
 'mevrouwe' 'hoogheyd' 'haag' 'plegtig' 'lodewijk']";100. Royal family and marriage of the prince;8;328
101;"['ligchaam' 'jaardag' 'jezus' 'gezondheid' 'gezond' 'dank' 'jeltje'
 'eeuwigheid' 'echtgenote' 'dankbaar' 'amen' 'werkzaam' 'anske' 'ziel'
 'bijstand' 'zegen' 'zwak' 'redelijk' 'goedheid' 'dierbare' 'vaak' 'god'
 'kleinen' 'schenk' 'vlug' 'uw' 'dierbaar' 'dankbaarheid' 'danken' 'moge'
 'heil' 'liefde' 'aard' 'mond' 'laat' 'hart' 'geloof' 'krachten'
 'uitkomst' 'maar' 'mijner' 'betrekkingen' 'wereld' 'uiltje' 'goddelijke'
 'verstand' 'huisgezin' 'ouders' 'noodzakelijk' 'naam']";101. Gratitude, faith and spiritual themes;4;321
102;"['municipaliteit' 'zaak' 'regeering' 'verkiezen' 'verzogt' 'verkiezing'
 'deeze' 'verzoek' 'verklaard' 'benoemd' 'bekend' 'geteekend' 'gesteld'
 'gedrag' 'vergadering' 'hunner' 'naam' 'daartoe' 'burgers' 'welke'
 'goedkeuring' 'had' 'wijze' 'regering' 'stemmen' 'bestuur' 'zaaken'
 'aangesteld' 'stem' 'kiezers' 'echter' 'burgerij' 'deze' 'zulk' 'einde'
 'besluit' 'deszelfs' 'reeds' 'kunnen' 'oogmerk' 'schutterij' 'gezegde'
 'zoals' 'waaren' 'derzelver' 'remotie' 'wijl' 'burger' 'regeeringe'
 'maaken']";102. Civil elections and administrative matters;3;320
103;"['hooghijdt' 'aijlva' 'halver' 'middagh' 'sigh' 'fransen' 'oranie'
 'snaghs' 'voorsch' 'wirt' 'garnisoen' 'voorss' 'trouppen'
 'gedeputeerdens' 'langhs' 'beneffens' 'menighte' 'canon' 'lincker'
 'commandeur' 'deses' 'wirden' 'franse' 'bommen' 'coomen' 'geposteert'
 'gerangeert' 'granadiers' 'welck' 'gen' 'cant' 'sich' 'cavallery' 'bergh'
 'anderdaghs' 'weegen' 'belegh' 'gevolgh' 'kryghs' 'servaes' 'excellentie'
 'schoeten' 'hr' 'mareschal' 'bastion' 'smorgens' 'wirdt' 'magistraats'
 'geallieerde' 'naght']";103. Military activities and siege;2;318
104;"['eeuw' 'eindelyk' 'kerk' 'heilig' 'hilonius' 'heilige' 'gewyd' 'had'
 'naderhand' 'genoemd' 'toen' 'gesticht' 'kon' 'wereld' 'naam' 'volken'
 'gebouwd' 'heiligen' 'waarheid' 'gebruik' 'kerke' 'kruis' 'zich'
 'christelyke' 'echter' 'bekend' 'jaaren' 'maar' 'iemand' 'kapel' 'deed'
 'arbeid' 'welker' 'bediend' 'wierd' 'goddelyke' 'voorbeeld' 'zorg'
 'iseghem' 'zou' 'gelegd' 'plaats' 'hetwelk' 'nooijt' 'kort' 'christus'
 'haat' 'werk' 'daar' 'gegeeven']";104. Religion and construction of a church;4;318
105;"['warrij' 'mirel' 'beels' 'dr' 'gallas' 'gevaerts' 'graaff' 'poortermans'
 'hoogwerff' 'roest' 'mirell' 'aarnout' 'burgermr' 'beedigt' 'hogendijk'
 'swalmius' 'thesaurier' 'geeligeert' 'adriaan' 'verkooren' 'fauvarcq'
 'overgeleverde' 'fredrik' 'bassecour' 'melvill' 'aangestelt' 'aarden'
 'mr' 'weled' 'leendert' 'hendrik' 'adr' 'hoyer' 'corn' 'dam' 'krap'
 'raaden' 'blankert' 'crap' 'nominatie' 'sluis' 'scheepenen' 'burgermrn'
 'dheeren' 'theodorus' 'præsident' 'oudenhoorn' 'burgermeester' 'gerard'
 'graafland']";105. Appointments and functions in the city;16;316
106;"['keizer' 'koning' 'frankryk' 'frankrijk' 'rusland' 'engeland' 'napoleon'
 'mogendheden' 'pruisen' 'vrankrijk' 'rijk' 'oostenrijk' 'ryk' 'vrankryk'
 'oorlog' 'spanje' 'kroon' 'republiek' 'had' 'koningen' 'holland'
 'lodewijk' 'prins' 'lodewyk' 'verklaard' 'duitschland' 'keyzer' 'karel'
 'eindelyk' 'grondgebied' 'zegd' 'majesteit' 'louis' 'hertog' 'pruissen'
 'frederik' 'verbond' 'bezoek' 'naam' 'staats' 'koningryk' 'naderhand'
 'gesteld' 'koningin' 'amerika' 'keijzer' 'generaal' 'belgien' 'belgie'
 'volken']";106. Political situation and war between European powers;8;315
107;"['vurs' 'eyn' 'ouch' 'oem' 'diessen' 'woeren' 'geweyst' 'got' 'diesse'
 'mytten' 'grotten' 'hoem' 'sych' 'alsus' 'honnen' 'ser' 'valkenborch'
 'wederoem' 'aldoer' 'eynen' 'hoen' 'mynsschen' 'joer' 'steyt' 'hyr'
 'groetten' 'buscop' 'trycht' 'synte' 'due' 'geheytten' 'jamer' 'myt'
 'eyne' 'voele' 'hobben' 'hee' 'guede' 'erstwerff' 'waert' 'ewech'
 'gueden' 'uytten' 'waest' 'closter' 'broder' 'guet' 'toeghen' 'synre'
 'koemen']";107. *Old Dutch language* and greetings;12;311
108;"['vaelen' 'dye' 'soldaden' 'huerlyeder' 'hudt' 'prynse' 'zelsten'
 'vederomme' 'lyeden' 'vasser' 'ghemente' 'vyerdt' 'vas' 'volch' 'dyt'
 'och' 'eet' 'vaeren' 'zoe' 'vul' 'staedt' 'zeere' 'ghecryghen' 'groete'
 'alzoe' 'melcanderen' 'ghesleghen' 'ypere' 'duere' 'buten' 'ghuesen'
 'brugghe' 'sluus' 'ghezonden' 'wedt' 'sloughen' 'perden' 'maelcontenten'
 'huus' 'ghynghen' 'leegher' 'zegghen' 'ghevanghen' 'mynheeren' 'droughen'
 'wandt' 'gheruchte' 'ghevlucht' 'voer' 'duer']";108. Civil war;2;310
109;"['aenbesteed' 'werken' 'werk' 'begroot' 'timmer' 'brug' 'besteed' 'bouwen'
 'afgebroken' 'voorgevel' 'grond' 'nederlands' 'gezeyd' 'gemaekt' 'steen'
 'gebouwt' 'gebouw' 'hout' 'bezig' 'muur' 'werklieden' 'centimen' 'maeken'
 'straet' 'gekost' 'nevens' 'bestek' 'nieuw' 'fondamenten' 'bruggen'
 'gebouwen' 'genaemd' 'breed' 'vierkant' 'poort' 'huyzen' 'kleyne' 'aende'
 'steenen' 'citadel' 'bouw' 'hoek' 'materialen' 'werkvolk' 'afgebrooken'
 'balken' 'leggen' 'voltrekken' 'mueren' 'fabriek']";109. Building and construction;5;309
110;"['heeze' 'leende' 'someren' 'geplaatst' 'inf' 'kerk' 'tilburg' 'uit'
 'plaats' 'gekomen' 'wierd' 'genaamd' 'mei' 'had' 'batt' 'alwaar' 'naar'
 'aldaar' 'gen' 'gelegd' 'naderhand' 'stad' 'schutterij' 'aan' 'gemaakt'
 'haag' 'laatste' 'aangekomen' 'echter' 'naam' 'pastoor' 'stadhuis'
 'generaal' 'tevens' 'gesteld' 'bestaande' 'opgemaakt' 'werd' 'aangenomen'
 'bataljon' 'gedaan' 'maastricht' 'buiten' 'geboren' 'intusschen'
 'verzoek' 'roermond' 'schutters' 'welke' 'haan']";110. Troops;2;304
111;"['vertaelinge' 'toegezonden' 'depeche' 'majesteyt' 'myne' 'copye' 'gene'
 'directelyk' 'vertaeling' 'souverynen' 'uytstel' 'vertoogen' 'vereyscht'
 'laestleden' 'my' 'wy' 'staeten' 'geschreven' 'zaeken' 'uwe' 'konnen'
 'excellentie' 'verzekeringe' 'opzigte' 'aengezien' 'minister'
 'verklaeren' 'gy' 'syne' 'maetregels' 'argenteau' 'gevoelens' 'brief'
 'schikkingen' 'vereysschen' 'antwoort' 'bepaelt' 'souvereyn'
 'tegenwoordige' 'verklaeringe' 'welzyn' 'vergaederinge' 'gezaementlyk'
 'daed' 'kenbaer' 'voldoeninge' 'verklaert' 'inhoud' 'vraegen' 'toekomen']";111. Diplomacy;8;303
112;"['myne' 'vertaelinge' 'my' 'minister' 'congres' 'geschreven' 'copye'
 'argenteau' 'vraegen' 'zaek' 'antwoort' 'antwoord' 'directelyk' 'vryheyd'
 'maetregels' 'gevoelens' 'aengezien' 'gy' 'souvereyn' 'gene'
 'onderteekent' 'zig' 'aenstonts' 'uytstel' 'daed' 'gedrag'
 'vergaederinge' 'zaeken' 'uytgewerkt' 'brief' 'keyzer' 'gezeyt'
 'majesteyt' 'vereyscht' 'verzekeringe' 'excellentie' 'grondregels' 'ik'
 'gerustheyd' 'vraegt' 'zekerheyd' 'staeten' 'zaeke' 'syne' 'hoedanigheyd'
 'voldoeninge' 'welzyn' 'iever' 'vertaeling' 'konnen']";112. Diplomacy and foreign relations;8;302
113;"['treckinge' 'fortune' 'koninglijcke' 'loterije' 'nombers' 'ceremonie'
 'gewonelijcke' 'radt' 'keijserlijcke' 'getrokken' 'geschiet' 'rad'
 'henegauw' 'comtoir' 'ste' 'genua' 'nomber' 'premien' 'uijt' 'gend'
 'sieur' 'brussel' 'bergen' 'gevallen' 'classe' 'classen' 'oktober'
 'voormelde' 'laeste' 'binnen' 'hoogste' 'geluckige' 'besondere' 'stadt'
 'merkweerdige' 'majesteijt' 'comptoir' 'saele' 'bloemen' 'begeeft' 'meij'
 'zijnde' 'loten' 'koninglijk' 'ongeluk' 'coomt' 'maerte' 'tweede' 'is'
 'subitelijk']";113. Lottery and games of chance;10;302
114;"['hungarijen' 'bohemen' 'ghecroont' 'rijck' 'keijser' 'conijnghen'
 'oostenrijck' 'sijnen' 'duijtslandt' 'ghetrauwt' 'gheregiert' 'coninck'
 'regierijnghe' 'ceurvorsten' 'conijnck' 'ferdinandus' 'soone' 'sone'
 'hertogh' 'sijne' 'sijn' 'keijsers' 'sijns' 'polen' 'ghestorven'
 'spanien' 'vranckrijcke' 'leopoldus' 'rijcke' 'hongarien' 'jaere'
 'koninck' 'sweden' 'succederen' 'vranckrijck' 'rooms' 'vercoren'
 'saecken' 'huijsvrauwe' 'regieringhe' 'gheseijt' 'teghens' 'philippus'
 'hongarijen' 'ottho' 'duijtslant' 'carole' 'oorsaecke' 'innocentius'
 'autsten']";114. Royal families and governments;8;301
115;"['pompiers' 'borgerwacht' 'burgerwacht' 'coppens' 'korps' 'kommandant'
 'kolonel' 'kompagnie' 'regentie' 'kauter' 'zich' 'orangisten' 'dadelyk'
 'bemerkte' 'morgend' 'militairen' 'kapiteyn' 'geleyd' 'muziek' 'had'
 'bereyd' 'detachementen' 'verscheyde' 'gelegendheyd' 'bezonderlyk'
 'hoofd' 'insgelyks' 'bezettinge' 'huyzen' 'wapens' 'wierd' 'gevolgd'
 'zyne' 'anderdags' 'borgerlyke' 'vrywilligers' 'zynen' 'civique'
 'veyligheyd' 'officieren' 'garnizoen' 'volk' 'deed' 'terwyl'
 'gelegenheyd' 'detachement' 'bezonderste' 'overheden' 'stad' 'genood']";115. Fire service and public safety;16;298
116;"['licentiaet' 'joannes' 'gebortigh' 'josephus' 'petrus' 'gebortig' 'eerw'
 'jos' 'mechelen' 'bisdom' 'franc' 'canonick' 'capittel' 'rechten'
 'franciscus' 'peeters' 'aertsbisschop' 'aerts' 'raede' 'bap' 'canonik'
 'heere' 'syne' 'godsgeleertheyd' 'deken' 'seminarie' 'loven' 'bisschop'
 'synen' 'carolus' 'welcken' 'baptista' 'gewesen' 'beyde' 'gesuccedeert'
 'universiteyt' 'advocaet' 'weerdigheyd' 'genoemt' 'rombauts' 'eminentie'
 'universiteijt' 'syn' 'proost' 'rombouts' 'doctor' 'canoninck'
 'eerwaarde' 'michael' 'officiael']";116. Clergy and church functions;4;298
117;"['gebouwd' 'kerk' 'orgel' 'geplaatst' 'gebouw' 'gemaakt' 'besteed'
 'naderhand' 'staande' 'kerkmeesteren' 'gelegd' 'afgebrooken' 'naast'
 'werk' 'muur' 'jaar' 'ingang' 'hek' 'werd' 'genaamd' 'voorgevel'
 'denzelve' 'wierd' 'afgebroken' 'predikstoel' 'bouwen' 'toorn' 'dak'
 'kruis' 'oude' 'spits' 'gekost' 'kapel' 'geplaast' 'straat' 'bestek'
 'meden' 'stadshuijs' 'vernieuwd' 'brug' 'gebruik' 'gestaan' 'had'
 'echter' 'aan' 'school' 'daar' 'zoogenaamde' 'vierkant' 'buiten']";117. Churches and structures;5;296
118;"['tilburg' 'kerk' 'eerwaarden' 'had' 'naam' 'naderhand' 'genaamd'
 'eindelyk' 'heilig' 'zondags' 'naar' 'plaats' 'pastor' 'gedaan' 'kon'
 'aan' 'mei' 'geplaatst' 'jaaren' 'alwaar' 'deze' 'wierd' 'uit' 'gaan'
 'toen' 'heb' 'laatste' 'enz' 'deed' 'gelegenheid' 'bisdom' 'heeze'
 'gesteld' 'deeze' 'afgelezen' 'zich' 'werd' 'godsdienst' 'frankryk'
 'gegaan' 'alhier' 'stadhuis' 'einde' 'kerken' 'gelegd' 'pastoor' 'kort'
 'bekend' 'aldaar' 'verzogt']";118. Religion and church services;4;296
119;"['bataljon' 'kwamen' 'vertrok' 'arriveerde' 'stadhuis' 'had' 'fransen'
 'garnizoen' 'generaal' 'naar' 'hollandsche' 'burgers' 'vertrokken'
 'terug' 'roermond' 'zwitsers' 'trokken' 'alwaar' 'kwam' 'municipaliteit'
 'gekomen' 'aankomst' 'kapitein' 'haag' 'aangekomen' 'uit' 'prins' 'stad'
 'majoor' 'pruisen' 'maastricht' 'militairen' 'schutterij' 'waarop' 'uur'
 'gewapende' 'deeze' 'wierd' 'deed' 'luitenant' 'arriveerden' 'regiment'
 'hospitaal' 'kanonnen' 'inkwartiering' 'venlo' 'denzelfden' 'maakten'
 'bestaande' 'commandant']";119. Military troops and garrisons;2;286
120;"['sijndt' 'dair' 'to' 'wordde' 'vorsegde' 'solden' 'wolden' 'weren'
 'desse' 'genaden' 'geholden' 'quemen' 'voirt' 'maiestaet' 'fursten'
 'oick' 'dessen' 'hoir' 'campen' 'sanct' 'ruteren' 'offt' 'sijnre'
 'vorsscreven' 'ridderscap' 'uuth' 'zwoll' 'wordden' 'bynnen' 'hoep'
 'heefft' 'woe' 'wolde' 'gueden' 'heren' 'luden' 'holden' 'liefften'
 'well' 'stadtholder' 'greven' 'hefft' 'all' 'guede' 'soe' 'meente'
 'solde' 'gelre' 'veell' 'vrunden']";120. *Old Dutch language*;12;280
121;"['zegen' 'moge' 'betrekkingen' 'jezus' 'dierbaar' 'dankbaar' 'gezondheid'
 'eeuwigheid' 'welvaart' 'dierbare' 'heil' 'voorspoed' 'vaderland'
 'voorzienigheid' 'wenschen' 'vertrouwen' 'belangen' 'danken' 'stand'
 'mag' 'werkzaam' 'bijstand' 'gezegend' 'rampen' 'deugden' 'wereld'
 'liefde' 'waardig' 'ziel' 'geloof' 'aanteekeningen' 'goddelijke'
 'vrijheid' 'steeds' 'dankbaarheid' 'god' 'belang' 'ingezetenen' 'onzer'
 'uw' 'goedheid' 'ligchaam' 'deugd' 'voorbeeld' 'genot' 'dank' 'onzes'
 'gebeurtenissen' 'uitkomst' 'geluk']";121. Prayers and wishes;10;279
122;"['conventie' 'nationaele' 'vrankrijk' 'verklaerd' 'republiek' 'vrankryk'
 'vergaedering' 'decreet' 'departementen' 'belgenland' 'constitutie'
 'koning' 'nationale' 'eygendommen' 'grondgebied' 'vergaederinge'
 'grondregels' 'zaeken' 'magt' 'vryheyd' 'representanten' 'zig' 'fransch'
 'gedrag' 'wetten' 'wyze' 'besluyt' 'vaderland' 'gemeyntens' 'volk'
 'vereenigde' 'plicht' 'belgen' 'vereeninge' 'keyzer' 'daed'
 'gezaementlyk' 'zaek' 'zyne' 'bezondere' 'zekerheyd' 'gebied' 'verklaert'
 'handhaeven' 'verdedigen' 'bepaelen' 'zittinge' 'congres' 'bepaelt'
 'maetregels']";122. Political declarations and constitutions;3;279
123;"['zittinge' 'besluyt' 'municipaelen' 'raed' 'maire' 'prefect' 'gene'
 'ledemaeten' 'communen' 'nivose' 'vraegt' 'aengezien' 'maeken'
 'departementen' 'grondregels' 'vraegen' 'dater' 'betrekkelyk'
 'departement' 'floreal' 'aengaet' 'uytwerkinge' 'eygenaers' 'laestleden'
 'leempoel' 'uytvoer' 'volgt' 'voorwerp' 'aenveerd' 'voorgeschreven'
 'wyze' 'pluviose' 'vergaederinge' 'directelyk' 'besluyten' 'konnen'
 'eyndelyk' 'vereyscht' 'uytvoeringe' 'voorgestelt' 'aen' 'zaeken'
 'maetregels' 'aenbieden' 'vendemiaire' 'gend' 'maekt' 'gelegendheyd'
 'municipal' 'bezonderlyk']";123. Governance and legislation;3;276
124;"['patrioten' 'garnisoen' 'waegens' 'synder' 'leger' 'canons' 'campement'
 'soldaeten' 'geallieerde' 'gevoert' 'canon' 'troepen' 'kryghs' 'waer'
 'gepasseert' 'geretireert' 'mortiers' 'vrywillige' 'gelaeden'
 'gecampeert' 'syn' 'buyt' 'gequetste' 'brusselsche' 'bagagie' 'isser'
 'gesteken' 'gekeert' 'poorte' 'gegaen' 'aengekomen' 'buyten' 'geschoten'
 'synde' 'getrocken' 'batteryen' 'avonts' 'hussaren' 'fransche'
 'keyserlycke' 'detachementen' 'peirden' 'genomen' 'gecommandeert'
 'vertrocken' 'ballen' 'mael' 'troupen' 'poeder' 'aldaer']";124. Military operations;2;273
125;"['hartogh' 'storf' 'wirt' 'wirde' 'hijer' 'bourgondien' 'carel' 'soone'
 'lotteringen' 'kreegh' 'houwelijck' 'vranckrijck' 'genoemt' 'oover'
 'graeff' 'spanien' 'sich' 'vrouwe' 'selffs' 'elisabet' 'dochter'
 'bischop' 'gelder' 'hertogh' 'naemaels' 'koninck' 'zwolle' 'floris'
 'stadtholder' 'hendrick' 'oorlogh' 'castilien' 'lodewijck' 'hertog' 'syn'
 'captijn' 'soonen' 'philippus' 'anno' 'kijser' 'governeur' 'won'
 'vranckryck' 'engelandt' 'lodewyck' 'nogh' 'suster' 'derwarts' 'haer'
 'vlanderen']";125. Royal and noble history;14;272
